#date,rate
2010-01-04,0.369
2010-01-05,0.371
2010-01-06,0.367
2010-01-07,0.365
2010-01-08,0.362
2010-01-11,0.361
2010-01-12,0.359
2010-01-13,0.357
2010-01-14,0.356
2010-01-15,0.357
2010-01-18,0.354
2010-01-19,0.352
2010-01-20,0.349
2010-01-21,0.350
2010-01-22,0.348
2010-01-25,0.347
2010-01-26,0.346
2010-01-27,0.345
2010-01-28,0.344
2010-01-29,0.344
2010-02-01,0.347
2010-02-02,0.348
2010-02-03,0.347
2010-02-04,0.347
2010-02-05,0.348
2010-02-08,0.344
2010-02-09,0.344
2010-02-10,0.345
2010-02-11,0.344
2010-02-12,0.344
2010-02-15,0.343
2010-02-16,0.343
2010-02-17,0.343
2010-02-18,0.344
2010-02-19,0.345
2010-02-22,0.344
2010-02-23,0.344
2010-02-24,0.344
2010-02-25,0.343
2010-02-26,0.341
2010-03-01,0.344
2010-03-02,0.343
2010-03-03,0.343
2010-03-04,0.343
2010-03-05,0.344
2010-03-08,0.343
2010-03-09,0.343
2010-03-10,0.342
2010-03-11,0.34
2010-03-12,0.339
2010-03-15,0.337
2010-03-16,0.338
2010-03-17,0.336
2010-03-18,0.336
2010-03-19,0.336
2010-03-22,0.337
2010-03-23,0.342
2010-03-24,0.343
2010-03-25,0.343
2010-03-26,0.344
2010-03-29,0.343
2010-03-30,0.341
2010-03-31,0.34
2010-04-01,0.344
2010-04-06,0.345
2010-04-07,0.346
2010-04-08,0.346
2010-04-09,0.346
2010-04-12,0.344
2010-04-13,0.346
2010-04-14,0.346
2010-04-15,0.345
2010-04-16,0.347
2010-04-19,0.345
2010-04-20,0.346
2010-04-21,0.346
2010-04-22,0.347
2010-04-23,0.347
2010-04-26,0.347
2010-04-27,0.348
2010-04-28,0.349
2010-04-29,0.349
2010-04-30,0.35
2010-05-03,0.354
2010-05-04,0.355
2010-05-05,0.357
2010-05-06,0.358
2010-05-07,0.362
2010-05-10,0.362
2010-05-11,0.362
2010-05-12,0.362
2010-05-13,0.361
2010-05-14,0.361
2010-05-17,0.361
2010-05-18,0.363
2010-05-19,0.362
2010-05-20,0.362
2010-05-21,0.362
2010-05-24,0.359
2010-05-25,0.362
2010-05-26,0.362
2010-05-27,0.362
2010-05-28,0.361
2010-05-31,0.363
2010-06-01,0.361
2010-06-02,0.363
2010-06-03,0.363
2010-06-04,0.364
2010-06-07,0.365
2010-06-08,0.365
2010-06-09,0.365
2010-06-10,0.368
2010-06-11,0.367
2010-06-14,0.365
2010-06-15,0.366
2010-06-16,0.365
2010-06-17,0.364
2010-06-18,0.366
2010-06-21,0.367
2010-06-22,0.375
2010-06-23,0.381
2010-06-24,0.388
2010-06-25,0.396
2010-06-28,0.405
2010-06-29,0.415
2010-06-30,0.42
2010-07-01,0.446
2010-07-02,0.452
2010-07-05,0.456
2010-07-06,0.459
2010-07-07,0.467
2010-07-08,0.478
2010-07-09,0.491
2010-07-12,0.498
2010-07-13,0.504
2010-07-14,0.51
2010-07-15,0.517
2010-07-16,0.545
2010-07-19,0.561
2010-07-20,0.569
2010-07-21,0.576
2010-07-22,0.58
2010-07-23,0.582
2010-07-26,0.58
2010-07-27,0.584
2010-07-28,0.585
2010-07-29,0.584
2010-07-30,0.577
2010-08-02,0.577
2010-08-03,0.569
2010-08-04,0.564
2010-08-05,0.565
2010-08-06,0.568
2010-08-09,0.564
2010-08-10,0.562
2010-08-11,0.561
2010-08-12,0.555
2010-08-13,0.55
2010-08-16,0.544
2010-08-17,0.54
2010-08-18,0.538
2010-08-19,0.534
2010-08-20,0.528
2010-08-23,0.531
2010-08-24,0.527
2010-08-25,0.524
2010-08-26,0.519
2010-08-27,0.515
2010-08-30,0.517
2010-08-31,0.514
2010-09-01,0.512
2010-09-02,0.512
2010-09-03,0.511
2010-09-06,0.509
2010-09-07,0.506
2010-09-08,0.505
2010-09-09,0.502
2010-09-10,0.501
2010-09-13,0.502
2010-09-14,0.502
2010-09-15,0.500
2010-09-16,0.503
2010-09-17,0.503
2010-09-20,0.503
2010-09-21,0.504
2010-09-22,0.512
2010-09-23,0.513
2010-09-24,0.515
2010-09-27,0.515
2010-09-28,0.518
2010-09-29,0.517
2010-09-30,0.520
2010-10-01,0.640
2010-10-04,0.664
2010-10-05,0.659
2010-10-06,0.648
2010-10-07,0.663
2010-10-08,0.694
2010-10-11,0.708
2010-10-12,0.725
2010-10-13,0.728
2010-10-14,0.727
2010-10-15,0.734
2010-10-18,0.743
2010-10-19,0.758
2010-10-20,0.774
2010-10-21,0.787
2010-10-22,0.798
2010-10-25,0.804
2010-10-26,0.810
2010-10-27,0.813
2010-10-28,0.795
2010-10-29,0.779
2010-11-01,0.770
2010-11-02,0.762
2010-11-03,0.747
2010-11-04,0.758
2010-11-05,0.781
2010-11-08,0.796
2010-11-09,0.805
2010-11-10,0.805
2010-11-11,0.807
2010-11-12,0.806
2010-11-15,0.800
2010-11-16,0.792
2010-11-17,0.775
2010-11-18,0.742
2010-11-19,0.711
2010-11-22,0.680
2010-11-23,0.657
2010-11-24,0.637
2010-11-25,0.615
2010-11-26,0.604
2010-11-29,0.595
2010-11-30,0.602
2010-12-01,0.606
2010-12-02,0.641
2010-12-03,0.675
2010-12-06,0.692
2010-12-07,0.718
2010-12-08,0.720
2010-12-09,0.703
2010-12-10,0.691
2010-12-13,0.676
2010-12-14,0.663
2010-12-15,0.641
2010-12-16,0.624
2010-12-17,0.613
2010-12-20,0.613
2010-12-21,0.602
2010-12-22,0.598
2010-12-23,0.643
2010-12-24,0.666
2010-12-27,0.684
2010-12-28,0.696
2010-12-29,0.700
2010-12-30,0.628
2010-12-31,0.612
2011-01-03,0.59
2011-01-04,0.575
2011-01-05,0.569
2011-01-06,0.56
2011-01-07,0.552
2011-01-10,0.552
2011-01-11,0.555
2011-01-12,0.562
2011-01-13,0.592
2011-01-14,0.647
2011-01-17,0.666
2011-01-18,0.687
2011-01-19,0.701
2011-01-20,0.71
2011-01-21,0.746
2011-01-24,0.783
2011-01-25,0.802
2011-01-26,0.899
2011-01-27,0.9
2011-01-28,0.897
2011-01-31,0.92
2011-02-01,0.951
2011-02-02,0.885
2011-02-03,0.859
2011-02-04,0.865
2011-02-07,0.864
2011-02-08,0.855
2011-02-09,0.971
2011-02-10,0.971
2011-02-11,0.942
2011-02-14,0.916
2011-02-15,0.885
2011-02-16,0.841
2011-02-17,0.805
2011-02-18,0.743
2011-02-21,0.707
2011-02-22,0.708
2011-02-23,0.718
2011-02-24,0.708
2011-02-25,0.705
2011-02-28,0.706
2011-03-01,0.706
2011-03-02,0.698
2011-03-03,0.768
2011-03-04,0.848
2011-03-07,0.872
2011-03-08,0.895
2011-03-09,0.89
2011-03-10,0.874
2011-03-11,0.853
2011-03-14,0.839
2011-03-15,0.814
2011-03-16,0.795
2011-03-17,0.784
2011-03-18,0.781
2011-03-21,0.782
2011-03-22,0.781
2011-03-23,0.793
2011-03-24,0.804
2011-03-25,0.806
2011-03-28,0.808
2011-03-29,0.813
2011-03-30,0.807
2011-03-31,0.792
2011-04-01,0.777
2011-04-04,0.781
2011-04-05,0.787
2011-04-06,0.798
2011-04-07,0.912
2011-04-08,1.03
2011-04-11,1.107
2011-04-12,1.13
2011-04-13,1.145
2011-04-14,1.149
2011-04-15,1.151
2011-04-18,1.155
2011-04-19,1.157
2011-04-20,1.176
2011-04-21,1.198
2011-04-26,1.206
2011-04-27,1.214
2011-04-28,1.222
2011-04-29,1.226
2011-05-02,1.231
2011-05-03,1.241
2011-05-04,1.2
2011-05-05,1.202
2011-05-06,1.216
2011-05-09,1.232
2011-05-10,1.24
2011-05-11,1.196
2011-05-12,1.177
2011-05-13,1.174
2011-05-16,1.177
2011-05-17,1.179
2011-05-18,1.184
2011-05-19,1.189
2011-05-20,1.189
2011-05-23,1.193
2011-05-24,1.193
2011-05-25,1.191
2011-05-26,1.164
2011-05-27,1.122
2011-05-30,1.097
2011-05-31,1.084
2011-06-01,1.058
2011-06-02,1.026
2011-06-03,1.017
2011-06-06,1.015
2011-06-07,1.018
2011-06-08,1.077
2011-06-09,1.213
2011-06-10,1.248
2011-06-13,1.254
2011-06-14,1.261
2011-06-15,1.267
2011-06-16,1.274
2011-06-17,1.289
2011-06-20,1.304
2011-06-21,1.31
2011-06-22,1.258
2011-06-23,1.222
2011-06-24,1.203
2011-06-27,1.201
2011-06-28,1.207
2011-06-29,1.207
2011-06-30,1.189
2011-07-01,1.177
2011-07-04,1.168
2011-07-05,1.164
2011-07-06,1.14
2011-07-07,1.252
2011-07-08,1.367
2011-07-11,1.439
2011-07-12,1.453
2011-07-13,1.462
2011-07-14,1.462
2011-07-15,1.461
2011-07-18,1.465
2011-07-19,1.473
2011-07-20,1.369
2011-07-21,1.319
2011-07-22,1.3
2011-07-25,1.298
2011-07-26,1.299
2011-07-27,1.281
2011-07-28,1.251
2011-07-29,1.212
2011-08-01,1.194
2011-08-02,1.192
2011-08-03,1.2
2011-08-04,1.269
2011-08-05,1.275
2011-08-08,1.289
2011-08-09,1.281
2011-08-10,1.222
2011-08-11,1.182
2011-08-12,1.161
2011-08-15,1.149
2011-08-16,1.14
2011-08-17,1.133
2011-08-18,1.123
2011-08-19,1.118
2011-08-22,1.123
2011-08-23,1.119
2011-08-24,1.116
2011-08-25,1.11
2011-08-26,1.108
2011-08-29,1.109
2011-08-30,1.104
2011-08-31,1.101
2011-09-01,1.098
2011-09-02,1.092
2011-09-05,1.091
2011-09-06,1.089
2011-09-07,1.086
2011-09-08,1.086
2011-09-09,1.092
2011-09-12,1.096
2011-09-13,1.098
2011-09-14,1.094
2011-09-15,1.089
2011-09-16,1.111
2011-09-19,1.125
2011-09-20,1.138
2011-09-21,1.14
2011-09-22,1.17
2011-09-23,1.182
2011-09-26,1.195
2011-09-27,1.211
2011-09-28,1.228
2011-09-29,1.22
2011-09-30,1.208
2011-10-03,1.197
2011-10-04,1.184
2011-10-05,1.17
2011-10-06,1.155
2011-10-07,1.178
2011-10-10,1.185
2011-10-11,1.191
2011-10-12,1.186
2011-10-13,1.181
2011-10-14,1.174
2011-10-17,1.171
2011-10-18,1.166
2011-10-19,1.161
2011-10-20,1.158
2011-10-21,1.158
2011-10-24,1.153
2011-10-25,1.151
2011-10-26,1.147
2011-10-27,1.14
2011-10-28,1.136
2011-10-31,1.136
2011-11-01,1.134
2011-11-02,1.134
2011-11-03,1.136
2011-11-04,1.028
2011-11-07,0.976
2011-11-08,0.952
2011-11-09,0.942
2011-11-10,0.932
2011-11-11,0.926
2011-11-14,0.921
2011-11-15,0.919
2011-11-16,0.908
2011-11-17,0.906
2011-11-18,0.906
2011-11-21,0.905
2011-11-22,0.91
2011-11-23,0.909
2011-11-24,0.909
2011-11-25,0.911
2011-11-28,0.909
2011-11-29,0.905
2011-11-30,0.904
2011-12-01,0.894
2011-12-02,0.892
2011-12-05,0.895
2011-12-06,0.896
2011-12-07,0.895
2011-12-08,0.887
2011-12-09,0.831
2011-12-12,0.8
2011-12-13,0.787
2011-12-14,0.767
2011-12-15,0.762
2011-12-16,0.76
2011-12-19,0.759
2011-12-20,0.76
2011-12-21,0.757
2011-12-22,0.861
2011-12-23,0.853
2011-12-27,0.846
2011-12-28,0.836
2011-12-29,0.704
2011-12-30,0.677
2012-01-02,0.652
2012-01-03,0.626
2012-01-04,0.606
2012-01-05,0.584
2012-01-06,0.564
2012-01-09,0.546
2012-01-10,0.53
2012-01-11,0.513
2012-01-12,0.497
2012-01-13,0.483
2012-01-16,0.469
2012-01-17,0.459
2012-01-18,0.448
2012-01-19,0.44
2012-01-20,0.433
2012-01-23,0.429
2012-01-24,0.422
2012-01-25,0.416
2012-01-26,0.411
2012-01-27,0.41
2012-01-30,0.404
2012-01-31,0.401
2012-02-01,0.396
2012-02-02,0.391
2012-02-03,0.387
2012-02-06,0.384
2012-02-07,0.382
